-183.800, 80.200, 0.000,  0.000
-183.800, 80.200, 0.000,  0.016
-183.800, 80.200, 0.000,  0.049
-183.800, 80.200, 0.000,  0.082
-183.800, 80.200, -0.022,  0.115
-183.801, 80.200, 0.018,  0.148
-183.801, 80.199, 0.017,  0.181
-183.801, 80.199, 0.019,  0.214
-183.800, 80.198, 0.034,  0.247
-183.799, 80.196, 0.044,  0.280
-183.798, 80.192, 0.132,  0.313
-183.795, 80.185, 0.234,  0.346
-183.791, 80.174, 0.358,  0.379
-183.785, 80.159, 0.437,  0.412
-183.778, 80.143, 0.498,  0.445
-183.770, 80.125, 0.544,  0.478
-183.762, 80.104, 0.651,  0.511
-183.753, 80.081, 0.698,  0.544
-183.743, 80.057, 0.754,  0.577
-183.732, 80.031, 0.841,  0.610
-183.720, 80.002, 0.885,  0.643
-183.707, 79.971, 0.965,  0.676
-183.694, 79.938, 1.032,  0.709
-183.679, 79.903, 1.096,  0.742
-183.664, 79.866, 1.160,  0.775
-183.648, 79.827, 1.224,  0.808
-183.631, 79.786, 1.287,  0.841
-183.613, 79.744, 1.348,  0.874
-183.595, 79.699, 1.409,  0.907
-183.576, 79.653, 1.467,  0.940
-183.556, 79.605, 1.523,  0.973
-183.535, 79.556, 1.575,  1.006
-183.514, 79.505, 1.624,  1.039
-183.492, 79.453, 1.670,  1.072
-183.470, 79.400, 1.713,  1.105
-183.447, 79.345, 1.752,  1.138
-183.423, 79.290, 1.789,  1.171
-183.399, 79.233, 1.823,  1.204
-183.374, 79.176, 1.854,  1.237
-183.349, 79.118, 1.882,  1.270
-183.323, 79.059, 1.909,  1.303
-183.298, 79.000, 1.933,  1.336
-183.271, 78.939, 1.955,  1.369
-183.244, 78.879, 1.975,  1.402
-183.217, 78.818, 1.993,  1.435
-183.190, 78.756, 2.010,  1.468
-183.162, 78.694, 2.025,  1.501
-183.134, 78.632, 2.038,  1.534
-183.106, 78.570, 2.051,  1.567
-183.078, 78.507, 2.062,  1.600
-183.049, 78.444, 2.072,  1.633
-183.020, 78.381, 2.081,  1.666
-182.990, 78.317, 2.090,  1.699
-182.961, 78.254, 2.097,  1.732
